ID,Text,Category
1977,@kettlesyard #Cambridge - lovely #cat souvenir of #gaudier-brzeska drawings. With #Monmouthcoffee http://t.co/cKA1Ez0Kal,0
1133,Distance makes the heart grow fonder but already heartbroken @kettlesyard shutting for 2 yr refurb on 21Jun; go now❤️ http//t.co/7HMmPRcJtz,3
986,Strikers at @Shell -sponsored @NationalGallery protest against #priatisation #kayaktivists #ShellNo @NaomiAKlein http://t.co/CW6wyEw8Mo,1
399,@LoudenStudio @PearlLamFineArt @NYAcademyofArt @NationalGallery A pleasure.Enjoying the catalogue immensely!Thanks!,0
1512,Unfortunately the trnsition narrative parts of those stories were handwaved away in the commentary. @foxvertebrae @britishmuseum,3
437,"Gold finger ring/rmillary sphere, German, 17thc. @britishmuseum. Curious to know how this is worn on the finger. http://t.co/N4aMqeD8Ad",2
193,@britishmuseumCod piece made of armor?,2
1436,"Saw these and thought of you @EgyptMcr #AnimalMummies (EA 6773, 11134, 6752, 26847) @britishmuseum #GiftsForTheGods http://t.co/OVDXEm2ieX",0
615,"@BBC_Culture @PlymoutMuseum Oh dear, why not Dame Laura Knight? Surely 'The Beach' should be in this list!",3
1494,#askthegallry What do you take more pride in: Hanging classic artwork or hanging your staff out to dry? @NationalGallery,1
577,#skthegallery How much public money have you spend on brining in CIS scabs during the current PCS dispute? @NationalGallery,1
987,People who &lt;3 &amp; careabout paintings VS cheap temporary contracts and unknowledgable staff @NationalGallery? #AskTheGallery,1
1433,@brtishmuseum @HollowCrownFans he doesn't look like a man of 30 does he?,2
707,People who &lt;3 &amp; care about paitings VS cheap temporary contracts and unknowledgable staff @NationalGallery? #AskTheGallery,1
1259,Stop the privatisation of services at the @NationalGallery! Sign the pettion now: https://t.co/w0xozuIolp via @38_degrees,1
142,Face the Music! http://t.co/rJ8FydmuEq 100s contrib. inc. @G_lizlulu @kettlesyard @DanielleMarieMu,0
1358,"@britishmuseum Omg, he looks totlly like Al Pacino! http://t.co/jHgsdUsFCn /@schriftart",2
3,"@NationalGallery Wait, no, is there a secret Leonardo drawing slipped inside one of th books?",2
1222,This w/e saw the closing of @kettlesyard for building work; here's a film I made thee in memory of Michael Harrison: http://t.co/d27X7k28Gy,3
1870,@britishmuseum @SenderosP The Rosetta Stone ;),0
1623,@britishmuseum Is he holding an orange? omeone had better watch out!,2
340,@tarbosaur @profjoecain @britishmuseum yes mermaid wonderfully scary  fo the kids - but now seems to have gone last time we looked,3
1770,@PlatformLondon @NationalGallery lets ind out Freedom Of Info act? Its our money!,1
1537,@britishmuseum @thehistoryguy shame about the idiots who pot rude comments throughout!,3
484,Defining Beauty @britishmuseum is well worth a visit...especially if one enjoys drawing in the dark http://t.co/Y7MJbf1BJk,0
266,"Wish @britishmuseum woul help more with improvements to Bloomsbury Sq, where hundreds of visitors to the museum pass through every day!",3
377,@kettlesyard Managed a last visit - if you need extra storage for a couple of my favourites I'd be happy to oblige ;) http://t.co/OrjfuyT5Es,0
742,@NConcostrina @brtishmuseum: .@Charles_XII The teeth taken from corpses on the battlefield were used as dentures for the rest the century😁,2
1014,"@NichollsJill I will! World Premiere was in Jan at @_TheWhitechapel , hopefully another screening soon!!",0
440,"@tateliverpool I'm trying to book the members curator talk or guided tour for pollock, bu the links don't work. Are they sold out?",3
272,Lots of questions about privatisation and sackingof our rep on @NationalGallery's #AskTheGallery. V disappointing they weren't addressed.,3
185,@nationalgallery #AskTheGallery When will you be re-instating Candy Udwin? Wy should the arts be subject to private profit?,1
940,@brtishmuseum Did Napoleon really say Britain was a nation of shopkeepers?,2
245,@Cambscene @CamUnivMuseums @polarmuseum surely that statue wd be cold? Is that the riginator of the saying about freezing brass balls off?,2
932,@NationalGallery @photopralineYes... but not as  #Rembrandt his paintings makes me weep ..#DUTCH 17th c golden age paintings ahhhhhhhh,3
446,Blog post: #AsktheGallery how not to engage with an angry audience. @NationalGallery brushes questions aside http://t.c/kfTCCyxFAD,1
597,"Crumbs @NMMGreenwich with Dudley, and @britishmuseum posting Henry VIII, feel a it threatened by my Museum tweets as a Catholic today :(",3
818,@NationalGallery@photopraline Yes... but not as  #Rembrandt his paintings makes me weep ..#DUTCH 17th c golden age paintings ahhhhhhhh,3
1273,@SassyClyde We won't sto til @britishmuseum dumps #BP. Fill in a feedback form when you're there &amp; watch this space: http://t.co/o2JlUnGi1y,1
1677,@britishmuseum @JHGHendriks Holy sh...,2
487,@NationalGallery #skTheGallery Will you recommend trustees end oil sponsorship &amp; making ppl complicit in climate change to see public art?,1
681,@Cambscene @CamUnivMuseums @polarmuseum surely that statue wd be cold? Is that the originator of the saying abot freezing brass balls off?,2
416,@MrStuchbery @britishmuseum A veteran priest could probably whip out a heart in about 30 seconds with that.. ❤️🔪😱,2
274,"@britishmuseum Hi been trying to phone for two ays and no one ever picks up, are your phones down?",3
1472,The Place's subtle dance piece performed with AgeUK @britishmuseum Defining Beauty exhibition didn'treally work; bring back the bacchantes?,3
1830,View of L’Estaque y Cézanne at risk of being exported @FitzMuseum_UK unless a buyer can match the £13m asking price. http://t.co/F3qTEMqha7,3
1455,"at the @NationaGallery . the #InventingImpressionism is a strictly No Photo area, so shot the museum shop instead http://t.co/k5JpZfY7b5",3
251,"@britishmuseum Omg, he looks totally like Al Pacino! ttp://t.co/jHgsdUsFCn /@schriftart",2
414,@NationalGallery #AskTheGallery We are boycotting the National Gallery untilyou reinstate Candy Unwin and stop privatisation...,1
1386,#AskTheGallery Love @NationaGallery. Hate Private Sector Colonisation / Illegal Discrimination Against Unions #ReinsateCandy @NGNotForSale,1
1308,@cheltcollege L6 History of Art Dept on way to London to give public presentations @NationalGallery - excitement brewing - photos to follow,0
716,"Commercial, not collegial: Why are @BrtishMuseum fees for art loans to Abu Dhabi not disclosed under UK's FOI law? http://t.co/PmcmRtHJT2",1
311,@britishmuseum @JHGHendriks Holy sh...!,2
927,@ConsortiumX @bencnn @britishmuseum Why at the British Museum? Highwayman! returnthe stolen goods to its owners! All its colonial pillage!,1
382,@Tate_StIves “ #BobandRoberta: I am angry more artists that have a profile are not speaking up! #foundationcouses. http://t.co/0Jqrql7vfK”,1
1566,@britishmuseum if no drinks are permittedin museum them this should clearly be displayed at entrance,1
426,View of L’Estaque by Cézanne at risk of being exported @FitzMuseum_UK unless a buyer can match the £13m asking rice. http://t.co/F3qTEMqha7,3
1875,"Jackson pollock and Glenn Ligon opening tomorrow at @tateliverpool great combo, both beautiful #NotToBeMissed",0
533,@CarolineLawrenc @britishmuseum  Oo! Fairies!,0
753,@NationalGallery @grekisinart ART=FREEDOM Visited the gallery but unable to see the impressionist paintings belonging to collection.When up,3
766,"Gold finger ring/armillary sphere, German, 17thc. @britishmuseum. Curios to know how this is worn on the finger. http://t.co/N4aMqeD8Ad",2
1357,@MrStuchbery @britishmuseum A vetern priest could probably whip out a heart in about 30 seconds with that... ❤️🔪😱,2
409,@MrStuchbery @britishmuseum A veteran priest could probably whip out a heart in about 30 seonds with that... ❤️🔪😱,2
1615,"Great to hear from Penny promoting the great work already occurring with MH @RAMMuseum ""Collections &amp; Identities"" #DefeatingDepression",0
695,British Museum evacuation? @britishmuseum #britishmuseum,2
1739,"@BBC_Culture @PlymouthMuseum Oh dear, why notDame Laura Knight? Surely 'The Beach' should be in this list!",3
549,"Wish @britishmuseum would help more with mprovements to Bloomsbury Sq, where hundreds of visitors to the museum pass through every day!",3
937,the defining beauty exhibition at @britishmuseum was so overwhelmingly stunning today. it ends next week so PLEASE make it a priority + go.,0
1390,"@NtionalGallery #AskTheGallery Dr P - wouldn't you like to leave with a noble gesture? Stop #privatisation, #ReinstateCandy, support union.",1
1608,Found this yesterday @BritisMuseum - desperately needs more info on the exhibit though :( Pillar of Emperor Ashoka http://t.co/0XtD8ly3nX,3
1940,@nationalgallery #AskThGallery Why do you pay your brilliant staff so poorly?,1
1482,.@IanLaveryMP can you attend adjournment debate tomorrow #noprivatisation @NationalGallery #reinstatecandy @NGNotForSal @PCSCultureGroup,1
183,"@tateliverpool I'm trying to book the members curator talk or guided tour fr pollock, but the links don't work. Are they sold out?",3
1941,The Place's subtle dance piece performed with AgeU @britishmuseum Defining Beauty exhibition didn't really work; bring back the bacchantes?,3
1161,@tarbosaur @profjoecain many thanks - it is sad but I think the @britishmuseum has now hdden away its Enlightment  gallery demonic mermaid,3
171,@Cambscene @CamUnivMuseums @polarmuseum surely that statue wd be cod? Is that the originator of the saying about freezing brass balls off?,2
293,@HistoryGems @britishmuseum It's got to be a little ummified croc?,2
562,Goodbye @kettlesard see you in 2.25 years! http://t.co/WFjBAiWbfM,3
1457,I urge art lovers to boycott @NtionalGallery until @pcs_union rep Candy is reinstalled. Human rights more important than pictures @BHGreens,1
1877,Thank you @stockleyacademy @NationalGallery looking forward to it :),0
1652,#ChristopherWilliams The Production Line of Happiness @_TheWhitechapel on until Sunday. Dynamic &amp; refreshing http://t.co/fPla90shml,0
850,@kettlesyard We are happy to! Looks like a good event :),0
273,It's a great day to #AskTheGallery with both @NationalGallery &amp; @Tate opening their Twitter doors for live questions&gt; http://t.co/tYH5tk8k4x,0
1550,@Tate_StIves that's fighting talk that is! but since you're so lovely i'll let it pass :),0
1035,@NationalGallery #AskTeGallery #noprivatisation https://t.co/0N7UGP7h1Z #ReinstateCandy http://t.co/ZaDR8HN01F,1
1744,View of L’Estaque by Cézanne at risk of being exported @FitzMuseum_UK uless a buyer can match the £13m asking price. http://t.co/F3qTEMqha7,3
372,"Since a few of thee were included, it would be nice to see more - it felt like a concessionary nod &gt; @foxvertebrae @britishmuseum",3
1670,"@bitishmuseum Wish you could extend the exhibition, 😭, I will only be in London in August...",3
722,"@britishmuseum Wish you could extend the exhibition, 😭, I will only be in London in ugust...",3
734,#askthegallery Ho much public money have you spend on brining in CIS scabs during the current PCS dispute? @NationalGallery,1
778,"@tiffanyjenkins Had this in a show I curated@_TheWhitechapel… Wasn't it painted from a newspaper image, two days after she landed?",2
519,The Place's subtle dance piece performed with AgeUK @britishmuseum Definig Beauty exhibition didn't really work; bring back the bacchantes?,3
335,@NationalGallery That Rembrandt selfportrait is one of my favourite pictures. I visit it yearly around my birthday; it's taught me so much.,0
846,@britishmuseum very upset with your invigilators. ery rude  arrogant when enforcing the no drinking rule.,1
1252,"at the@NationalGallery . the #InventingImpressionism is a strictly No Photo area, so shot the museum shop instead http://t.co/k5JpZfY7b5",3
1053,"Wellcome to Instagram, @NationalGallery (https://t.co/KHGP71ECet)! Just in time for #InstaMuseum tomorrow :D http://t.co/SRLXesHNVw",0
1924,@appendixjournal @MartinPribble @FitzMuseum_U So the Swiss Army knife is really a Roman army knife? I'm going to engrave SPQR on mine.,2
16,FINALLY it's #DefiningBeauty @britishmuseum day! Can't wait to feel overwhelming awe.,0
708,FYI .@NationalGallery @NGNotForSale #ReinstateCandy https://t.co/WD2pKLxET,1
901,".@NationalGallery Director N. Penny favours ""in-house solution"" Come back to talks then! @pc_union got #Alternative  http://t.co/UOdrADopXr",1
1980,Lots of questions about privatisation and saking of our rep on @NationalGallery's #AskTheGallery. V disappointing they weren't addressed.,3
1573,@Ophiolatrist @brtishmuseum The stupid #French prick was crushed by my Russian Imperial ancestors. 😂 #Waterloo200,1
904,@britishmuseum Superbe Musée http://t.co/4I8idPlBFt,0
466,This cheeky beauty is a popular exhibit at @BritishMuseum. One of many representations of the love goddess they have. http://t.co/MIVusjNnmu,0
1978,@SassyClyde We won't stop til @britishmuseum dumps #BP. Fill in a feedback form when you're there &amp; watch this space: http://t.c/o2JlUnGi1y,1
200,@tarbosaur @profjoecain many thanks- it is sad but I think the @britishmuseum has now hidden away its Enlightment  gallery demonic mermaid,3
1207,@britishmuseum Beautiful exhibit. I wish to have seen it on my last trip to UK in Nov.,0
1056,The Place's subtle dance piece performed with AgeUK @britishmuseum Defining Beauty exhibition didn't eally work; bring back the bacchantes?,3
1132,Breathtaking display @britishmuseum but nothing makes me swoon like the Barberini Faun #DefiningBeauty http://t.co/gInGd7Vcel,0
1380,Lots of questions about privatisation and sacking of our rep on @NationalGallery's #AskTheGallery. V disappointing they weren't addresse.,3
999,@MrStuchbery @FrancesBaker @britishmuseum Oh? How so?,2
728,A confident @NationalGallery woud answer its critics during #AskTheGallery not ignore them. We are visitors and tax payers too.,1
1772,@NConcostrina @briishmuseum: .@Charles_XII The teeth taken from corpses on the battlefield were used as dentures for the rest the century😁,2
1910,@NationalGallery The cropped image in the timeline ooks like something entirely different - anyone else see it?,2
1822,#Solidarity from USDAW C133 to @pcs_union on Day 39 ofstrike against @NationalGallery privatisation #ReinsateCandy http://t.co/NO5lYh7B5M,1
568,Fantastic @johnmcdonnellMP standing up for workers @NationalGallery #noprivatisation while @edvaizey sits on fene! http://t.co/QzBYpUAtQt,1
44,#askthegallery What do you take more pride in: Hanging classic artwork or hanging your staff out to dry? @NatonalGallery,1
275,@NationlGallery @greekisinart ART=FREEDOM Visited the gallery but unable to see the impressionist paintings belonging to collection.When up,3
1097,@Tate_StIves “ #BobandRoberta: I am angry more artists that have a profileare not speaking up! #foundationcourses. http://t.co/0Jqrql7vfK”,1
102,@NationalGallery #AskTheGallery Why do you appear to suppot privatisation? Why don't you value your staff more and support them?,1
1232,@britishmuseum very upset with your invigilaors. Very rude  arrogant when enforcing the no drinking rule.,1
1722,"Since a few of these were included, it would b nice to see more - it felt like a concessionary nod &gt; @foxvertebrae @britishmuseum",3
1833,Blog post: #AsktheGallery how not to engage with an angry audince. @NationalGallery brushes questions aside http://t.co/kfTCCyxFAD,1
108,@Sofabsports thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression @RAMMuseum,0
1618,People who &lt;3 &amp; care about paintings VS cheap temporary contracts and unknowledgable stff @NationalGallery? #AskTheGallery,1
498,@NationalGallery Thank you for the information - it's a very beautiful painting 🎨,0
1981,Working meeting at @britishmuseum &gt; what a great start to the day http://t.co/AGTGo7JwyM,0
882,@NationalGallery Haha There were definitely no giant agles hanging around when we last visited !,2
757,@OptimoPrincipi @britishmuseum that one looks so eal,2
620,Agreed @rhiannonakelly. Eat my sandwiches @britishmuseum daily 4 inspring surroundings. Inspired rage that day. Whats nxt @ReclaimOurBard?,1
1107,Here's me trying a spot of life drawing at (fabulous) @KettlesYard in Cambridge http://t.co/cnq220VyIL,0
1936,@NCocostrina @britishmuseum: .@Charles_XII The teeth taken from corpses on the battlefield were used as dentures for the rest the century😁,2
810,@NationalGallery #AskTheGallery We are boycotting the National Gallery until you renstate Candy Unwin and stop privatisation...,1
1038,@Ophiolatrist @britishmuseum Seriously ? Napoleon and Hitler ? It'sjust stupid.,1
73,@Cambscene @CamUnivMuseums @polarmuseum surely that statue wd be cold? Is that th originator of the saying about freezing brass balls off?,2
1284,@tarbosaur @profjoecain @britishmuseum yes mermaid wonderfully scary  for the kids - but now seems to have gone last tie we looked,3
1272,@appendixjournal @MartinPribble @FitzMuseum_UK So the Swiss Army knife is really a Roman army knife? I'm going to engrave PQR on mine.,2
1335,@britishmuseum @thehistoryguy Gosh periscope is definitely on trend. High profile people using it and I ave not even tried it yet.,2
1459,@NationalGallery #AskTheGallery Why do yo appear to support privatisation? Why don't you value your staff more and support them?,1
482,@britishmuseum @thehistoryuy Gosh periscope is definitely on trend. High profile people using it and I have not even tried it yet.,2
1069,.@appendixjournal @ephemera07 @FitzMuseum_UK Cool! I could use one of these next time I'm camping!,0
507,@appendixjournal @MartinPribble @FitzMuseum_UK So the Swiss Army knife is really a Roman army nife? I'm going to engrave SPQR on mine.,2
1238,"@britishmuseum @Moonbootica Wow, he was a vey old 32.",2
1862,@NConcostrina @britishmuseum: .@Charles_XII The teeth taken from corpses on the battlefield wre used as dentures for the rest the century😁,2
1990,So... @TimesSquareNYC and @britishmuseum are responsible for trending #SummerSolstice in America. Hell yeah: http://t.co/cEqC4SLbVS,0
1477,Fantastic @johnmcdonnellMP standing up for workers @NationalGallery #noprivatisation while @edvaizey sits n fence! http://t.co/QzBYpUAtQt,1
1867,OMG! I thought she was sleep upstairs!@3speeders @Tate_StIves,2
1456,Goodbye @kettlesyard see you in 2.25years! http://t.co/WFjBAiWbfM,3
312,"Wish @britishmuseum would help more with improvements to Bloomsury Sq, where hundreds of visitors to the museum pass through every day!",3
963,"@BMAGcurators @NationalGallery Yes, it is.  It's hard to believe that Bernard Berenson dispaaged Reni.",2
406,@NatinalGallery oh god!,2
1331,"@blaircurator @alex_neilson @Tate_StIves Hang on, that building has only just been renovated and t very great expense ...",2
1650,@britishmuseum@JHGHendriks Holy sh...!,2
310,"So me and @foxvertebrae went to the Defining Beauty exhibition at the @britishmuseum yesterday, and I thought I'd tweet some musings.",0
227,@NationalGallery This is one of my favourites; have a copy from the NG framed &amp; hanging right next to me.,0
1858,@britishmuseum @thehistoryguy shame about the idiots who post rud comments throughout!,3
711,#AskTheGallery Love @NationalGallery. Hate Private Sector Colonisation / Illegal Discrimination Against Unions #ReinsateCandy @NGNotForSae,1
1944,"@tateliverpool I'm trying to book the members curator talk or guided tour for pollock, but te links don't work. Are they sold out?",3
1384,I urge art lovers to boycott @NationalGallery until @pcs_union rep Candy is reinstalled. Human rights more important thanpictures @BHGreens,1
1786,@NationalGallery “ #BobandRoberta I am angry more rtists that have a profile r not speaking up! #foundationcourses. http://t.co/0Jqrql7vfK”,1
149,Off to @britishmuseum for #definingbeauty wanted to go for ages finishes next week,0
1555,I urge art lovers to boycott @NationalGallery until pcs_union rep Candy is reinstalled. Human rights more important than pictures @BHGreens,1
1957,@britishmuseum @HollowCrownFans he doesn't look like aman of 30 does he?,2
926,Unfortunately the transition narrative parts of those stories were handwaved away inthe commentary. @foxvertebrae @britishmuseum,3
943,@nationalgallery #AskTheGallery When will you be re-instating Candy Udwin Why should the arts be subject to private profit?,1
837,@tateliverpool new Jackson Pollock:Blind Spots exhibition opens to the public tomorrow #excited #Liverpool #art Not to be missed!,0
576,@NationalGallery he cropped image in the timeline looks like something entirely different - anyone else see it?,2
558,"@tateliverpool I'm trying to book the members curator talk or guided tour for pollock, but the links don't work. Are they sold out",3
1236,Srikers at @Shell -sponsored @NationalGallery protest against #privatisation #kayaktivists #ShellNo @NaomiAKlein http://t.co/CW6wyEw8Mo,1
1361,@Nationalallery The cropped image in the timeline looks like something entirely different - anyone else see it?,2
1348,@chriswatt44 @Tate_StIves great pic. What a day. Cheers :-),0
1162,"@NationalGallery thanks for fav-ing. I spent 40m in yr place b4 a biz meeting and you know what, my heart soared! #artforthesoul",0
1443,@tarbosaur @profjoecain @britishmuseum yes mermaid wonderfully scary  for the kids - but now seems to have gone last time we looke,3
287,.@_TheWhitechapel @marieantoynette Definitely one our our favourite places too! We're absolutely thrilled we're now a short walk away!,0
1605,Find great content producers on #Periscope like @britishmuseum http://t.co/9FJeQAZvXQ  @periscopeco @periscopetv http://t.co/w15caPQnk5,0
1058,This w/e saw the closing of @kettlesard for building work; here's a film I made there in memory of Michael Harrison: http://t.co/d27X7k28Gy,3
599,Bad times at the National Gallery! Stop the privatisation of services at the @NaionalGallery! https://t.co/ypfYtLhYus via @38_degrees,1
933,@Cambscne @CamUnivMuseums @polarmuseum surely that statue wd be cold? Is that the originator of the saying about freezing brass balls off?,2
1462,Goobye @kettlesyard see you in 2.25 years! http://t.co/WFjBAiWbfM,3
1638,@britishmuseum #AncientLives exhibition. Wow!,0
1588,@britishmuseum So enjoyed the demonstration. It must take years to master this beautiful artistry.,0
1041,@NationalGallery @Londoncraftweek how weird you should sy that when I've been at #barberinstitute and took this pic http://t.co/P1iQcqQ8nY,2
1231,Goodbye @kettlesyard see you in 225 years! http://t.co/WFjBAiWbfM,3
807,@britishmuseum thank you for a fascinating scope,0
905,Great to learn more from @MetOffice Informatics Lab people today:  @niallhrobinson @metolab @RachelPrudden and Richard Hogben at @RAMMuseum,0
1680,@britishmuseum very upset with your invigilators. Very rud  arrogant when enforcing the no drinking rule.,1
1205,The Top 5 Art Shows to 2C in London NOW: http://t.co/L8MqhHE3nw  @LaceyContemp @britishmuseum @HoxtonGallery @JFreemanGallery @artist_stone,0
768,@MrStuchbery @britishmuseum A veteran priest could probably whip out aheart in about 30 seconds with that... ❤️🔪😱,2
610,"@britishmuseum Hi been trying to phonefor two days and no one ever picks up, are your phones down?",3
1993,British Museum evacuation?! @britishmuseum #ritishmuseum,2
1565,"#AskTheGallery Dr Penny, facing public outcry and a petition with nearly 45,000 signatures, will you halt privatisation at @NatioalGallery?",1
1423,@tabosaur @profjoecain @britishmuseum yes mermaid wonderfully scary  for the kids - but now seems to have gone last time we looked,3
1011,@NationalGallery @BohanRob  it's very beautiful and creative painting,0
494,. @NationalGallery What message does oil sponsorship of the arts send to those ngotiating a climate del in Paris this year #AsktheGallery,1
1321,Late Pollock set to be one of the most provocative &amp; absorbing shows @tateliverpool @guardian http://t.co/8oxmUKUaBQ http://t.co/ZFGcKcE34w,0
278,Really enjoyed hearing @SStraine talk with such enthusiasm about #pollock at @tateliverpool this afternoon.,0
1847,"It's sunny, I was just given an @hummingbbakery cupcake, and I'm planning on going to the @britishmuseum later #lifeisgood #fridayfeeling",0
359,@britishmuseum and is tha a neck collar? The neck is so slender.,2
1111,Yummy lunch now to check out #waddesdon and #DefiningBeauty at @britishmuseum #self-authorisedsabbatical ;-),0
237,@NatonalGallery oh god!,2
552,@britishmuseum thanks!,0
1868,or here https://t.co/R2tO79Easn … .An in house solution proposed to meet flexibility needs. Come on @ationalGallery - it's time to TALK.,1
1813,"at the @NationalGallery . the #InventingImpressionism is a strictly No Phoo area, so shot the museum shop instead http://t.co/k5JpZfY7b5",3
209,@NationalGallery @Londoncraftweek how weird you should say thatwhen I've been at #barberinstitute and took this pic http://t.co/P1iQcqQ8nY,2
1387,@britishmuseum Really interesting. Must visit. Thanks.,0
1561,@NationalGallery espectacular sunbeam :-),0
59,@britishmuseum @AYDSMA two of those ... I would have never thought tat they're his,2
632,@NationalGallery @photopraline Yes... but not as  #Rembrandt his paitings makes me weep ..#DUTCH 17th c golden age paintings ahhhhhhhh,3
1962,"Crumbs @NMMGreenwich with Dudley, and @britishmuseumposting Henry VIII, feel a bit threatened by my Museum tweets as a Catholic today :(",3
1860,"@NationalGallery #AskTheGalery Dr P - wouldn't you like to leave with a noble gesture? Stop #privatisation, #ReinstateCandy, support union.",1
1817,@tarbosaur @profjoecain many thanks - i is sad but I think the @britishmuseum has now hidden away its Enlightment  gallery demonic mermaid,3
364,@7Stories @plymlibraries @PlymouthMuseum That looks amazing! I'll be there with Cece and Fifi (Beau is 12 so probs a bit old :) ),0
506,It's been one of those days... @NationalGallery #sorefeet htp://t.co/5cwgqIoGbZ,3
1166,. @NationalGallery What message does oil sponsorship of the arts send to those ngotiating a climate deal in Paris this year #AsktheGalley,1
1122,and a fav from @NationalGallery for the birfday boy:  http://t.co/1L7VJ6ykmu,0
1630,@britishmuseum I wish you had something n bankruptcy in the ancient world,3
1217,@britishmuseum @Cisthene1 @gabjamom1 pretty cool!,0
1152,@britishmuseum How did he British double line formation and squad fire work? surely not the entire battalion in one long line 2 deep?,2
1125,@JHGHendriks @brtishmuseum @aroberts_andrew estimates range from 15000 to 20000 horses killed/severly wounded,3
1595,After 29 yrs #Cézanne#painting to leave UK unless funds raised @FitzMuseum_UK via @an_artnews http://t.co/VjDNl3XU7C http://t.co/0frSDQ5LHN,3
119,.@cbcideas @thegetty @HaidaHeritage @NewCdnMedia @guardian @britishmuseum @morethanadodo: An important talk.Would love to visit Haida Gwaii,0
1250,After 29 yrs #Cézanne #painting to leave UK unless funds raised @FitzMuseum_UK via @an_artnews htp://t.co/VjDNl3XU7C http://t.co/0frSDQ5LHN,3
1994,@briishmuseum @69quietgirl @Charles_XII - and will again... #austerity,3
523,@tarbosaur@profjoecain @britishmuseum yes mermaid wonderfully scary  for the kids - but now seems to have gone last time we looked,3
514,@britishmuseum @thehistoryguy Gosh periscope i definitely on trend. High profile people using it and I have not even tried it yet.,2
82,#askthegallery How much public money have you spend on brining in CIS scabs during the current PCS dispute? @ationalGallery,1
